,index,Date,Round,Game number,Venue,Home Team,Away Team,Home team score,Away team score,Home team score detail,Away team score detail,Winning team,Margin,Year stage,day,month,year,time,HomeCode,AwayCode,Pos_home,P_home,W_home,D_home,L_home,For_home,Agn_home,Max_home,Min_home,Home_W_home,Home_D_home,Home_L_home,Away_W_home,Away_D_home,Away_L_home,Stk_home,Pts_home,%_home,Stkn_home,Stkd_home,Pos_away,P_away,W_away,D_away,L_away,For_away,Agn_away,Max_away,Min_away,Home_W_away,Home_D_away,Home_L_away,Away_W_away,Away_D_away,Away_L_away,Stk_away,Pts_away,%_away,Stkn_away,Stkd_away,target
28,37,2022-04-15 16:20:00,5,2,Docklands,North Melbourne,Western Bulldogs,71,139,"[1, 0, 6, 2, 8, 4, 11, 5]","[8, 3, 10, 4, 15, 5, 21, 13]",Western Bulldogs,68,Regular season,15,04,2022,16:20:00,12,07,17.0,4.0,1.0,0.0,3.0,255,379,75.0,48.0,1.0,0.0,0.0,0.0,0.0,3.0,2L,4.0,67.28,-2.0,L,14.0,4.0,1.0,0.0,3.0,293,358,90.0,61.0,1.0,0.0,1.0,0.0,0.0,2.0,1L,4.0,81.84,-1.0,L,0
29,38,2022-04-15 19:40:00,5,3,Perth Stadium,West Coast,Sydney,58,121,"[0, 0, 2, 0, 4, 3, 9, 4]","[5, 4, 10, 10, 11, 12, 18, 13]",Sydney,63,Regular season,15,04,2022,19:40:00,18,16,15.0,4.0,1.0,0.0,3.0,273,357,87.0,47.0,0.0,0.0,2.0,1.0,0.0,1.0,1W,4.0,76.47,1.0,W,6.0,4.0,3.0,0.0,1.0,365,315,112.0,60.0,2.0,0.0,0.0,1.0,0.0,1.0,1W,12.0,115.87,1.0,W,0
30,39,2022-04-16 13:45:00,5,4,Docklands,St Kilda,Gold Coast,87,61,"[3, 3, 6, 7, 9, 8, 13, 9]","[3, 1, 6, 1, 7, 4, 9, 7]",St Kilda,26,Regular season,16,04,2022,13:45:00,15,20,4.0,4.0,3.0,0.0,1.0,409,314,142.0,65.0,1.0,0.0,1.0,2.0,0.0,0.0,3W,12.0,130.25,3.0,W,9.0,4.0,2.0,0.0,2.0,325,307,107.0,57.0,1.0,0.0,1.0,1.0,0.0,1.0,1W,8.0,105.86,1.0,W,1
31,40,2022-04-16 16:35:00,5,5,Adelaide Oval,Adelaide,Richmond,101,82,"[4, 1, 9, 4, 13, 6, 15, 11]","[3, 1, 6, 3, 10, 10, 12, 10]",Adelaide,19,Regular season,16,04,2022,16:35:00,01,14,12.0,4.0,1.0,0.0,3.0,335,378,99.0,58.0,1.0,0.0,1.0,0.0,0.0,2.0,1L,4.0,88.62,-1.0,L,10.0,4.0,2.0,0.0,2.0,368,352,109.0,76.0,2.0,0.0,0.0,0.0,0.0,2.0,1W,8.0,104.55,1.0,W,1
32,41,2022-04-16 19:25:00,5,6,M.C.G.,Melbourne,Greater Western Sydney,120,53,"[4, 0, 6, 2, 16, 4, 19, 6]","[0, 5, 3, 6, 5, 8, 7, 11]",Melbourne,67,Regular season,16,04,2022,19:25:00,11,21,1.0,4.0,4.0,0.0,0.0,346,246,99.0,68.0,2.0,0.0,0.0,2.0,0.0,0.0,4W,16.0,140.65,4.0,W,13.0,4.0,1.0,0.0,3.0,302,366,92.0,54.0,1.0,0.0,1.0,0.0,0.0,2.0,1L,4.0,82.51,-1.0,L,1
33,42,2022-04-17 13:40:00,5,7,M.C.G.,Carlton,Port Adelaide,94,91,"[6, 4, 12, 6, 13, 8, 14, 10]","[2, 3, 4, 5, 10, 9, 13, 13]",Carlton,3,Regular season,17,04,2022,13:40:00,03,13,7.0,4.0,3.0,0.0,1.0,339,331,102.0,62.0,2.0,0.0,0.0,1.0,0.0,1.0,1L,12.0,102.42,-1.0,L,18.0,4.0,0.0,0.0,4.0,253,364,92.0,36.0,0.0,0.0,2.0,0.0,0.0,2.0,4L,0.0,69.51,-4.0,L,1
34,43,2022-04-17 16:40:00,5,8,Docklands,Essendon,Fremantle,59,107,"[1, 4, 5, 8, 5, 10, 8, 11]","[2, 2, 6, 5, 12, 8, 16, 11]",Fremantle,48,Regular season,17,04,2022,16:40:00,05,08,16.0,4.0,1.0,0.0,3.0,320,433,103.0,70.0,1.0,0.0,1.0,0.0,0.0,2.0,1W,4.0,73.9,1.0,W,3.0,4.0,3.0,0.0,1.0,328,248,102.0,55.0,1.0,0.0,1.0,2.0,0.0,0.0,2W,12.0,132.26,2.0,W,0
35,44,2022-04-18 15:20:00,5,9,M.C.G.,Hawthorn,Geelong,92,80,"[5, 3, 8, 4, 10, 4, 14, 8]","[1, 4, 6, 6, 11, 10, 11, 14]",Hawthorn,12,Regular season,18,04,2022,15:20:00,10,09,11.0,4.0,2.0,0.0,2.0,344,330,120.0,73.0,1.0,0.0,1.0,1.0,0.0,1.0,2L,8.0,104.24,-2.0,L,5.0,4.0,3.0,0.0,1.0,399,340,138.0,77.0,2.0,0.0,0.0,1.0,0.0,1.0,2W,12.0,117.35,2.0,W,1
36,45,2022-04-22 19:50:00,6,1,Manuka Oval,Greater Western Sydney,St Kilda,60,77,"[3, 4, 7, 7, 7, 9, 8, 12]","[4, 5, 5, 8, 9, 12, 10, 17]",St Kilda,17,Regular season,22,04,2022,19:50:00,21,15,14.0,5.0,1.0,0.0,4.0,355,486,92.0,53.0,1.0,0.0,1.0,0.0,0.0,3.0,2L,4.0,73.05,-2.0,L,4.0,5.0,4.0,0.0,1.0,496,375,142.0,65.0,2.0,0.0,1.0,2.0,0.0,0.0,4W,16.0,132.27,4.0,W,0
37,46,2022-04-23 13:45:00,6,2,Eureka Stadium,Western Bulldogs,Adelaide,62,63,"[3, 5, 3, 7, 5, 8, 9, 8]","[2, 4, 3, 7, 5, 11, 8, 15]",Adelaide,1,Regular season,23,04,2022,13:45:00,07,01,10.0,5.0,2.0,0.0,3.0,432,429,139.0,61.0,1.0,0.0,1.0,1.0,0.0,2.0,1W,8.0,100.7,1.0,W,13.0,5.0,2.0,0.0,3.0,436,460,101.0,58.0,2.0,0.0,1.0,0.0,0.0,2.0,1W,8.0,94.78,1.0,W,0
38,47,2022-04-23 16:35:00,6,3,Adelaide Oval,Port Adelaide,West Coast,117,33,"[1, 2, 8, 5, 11, 8, 18, 9]","[1, 2, 1, 4, 1, 8, 4, 9]",Port Adelaide,84,Regular season,23,04,2022,16:35:00,13,18,18.0,5.0,0.0,0.0,5.0,344,458,92.0,36.0,0.0,0.0,2.0,0.0,0.0,3.0,5L,0.0,75.11,-5.0,L,16.0,5.0,1.0,0.0,4.0,331,478,87.0,47.0,0.0,0.0,3.0,1.0,0.0,1.0,1L,4.0,69.25,-1.0,L,1
39,48,2022-04-23 19:40:00,6,4,Perth Stadium,Fremantle,Carlton,97,62,"[1, 4, 7, 6, 11, 9, 14, 13]","[2, 2, 4, 5, 6, 7, 9, 8]",Fremantle,35,Regular season,23,04,2022,19:40:00,08,03,2.0,5.0,4.0,0.0,1.0,435,307,107.0,55.0,1.0,0.0,1.0,3.0,0.0,0.0,3W,16.0,141.69,3.0,W,6.0,5.0,4.0,0.0,1.0,433,422,102.0,62.0,3.0,0.0,0.0,1.0,0.0,1.0,1W,16.0,102.61,1.0,W,1
40,49,2022-04-24 13:10:00,6,5,Bellerive Oval,North Melbourne,Geelong,61,121,"[1, 2, 2, 4, 4, 5, 9, 7]","[3, 7, 7, 11, 13, 15, 17, 19]",Geelong,60,Regular season,24,04,2022,13:10:00,12,09,17.0,5.0,1.0,0.0,4.0,326,518,75.0,48.0,1.0,0.0,1.0,0.0,0.0,3.0,3L,4.0,62.93,-3.0,L,7.0,5.0,3.0,0.0,2.0,479,432,138.0,77.0,2.0,0.0,0.0,1.0,0.0,2.0,1L,12.0,110.88,-1.0,L,0
41,50,2022-04-24 16:10:00,6,6,Carrara,Gold Coast,Brisbane Lions,80,132,"[2, 4, 4, 10, 7, 12, 11, 14]","[5, 1, 9, 3, 14, 4, 21, 6]",Brisbane Lions,52,Regular season,24,04,2022,16:10:00,20,19,12.0,5.0,2.0,0.0,3.0,386,394,107.0,57.0,1.0,0.0,1.0,1.0,0.0,2.0,1L,8.0,97.97,-1.0,L,3.0,5.0,4.0,0.0,1.0,501,363,156.0,70.0,3.0,0.0,0.0,1.0,0.0,1.0,1W,16.0,138.02,1.0,W,0
42,51,2022-04-24 19:25:00,6,7,M.C.G.,Richmond,Melbourne,54,76,"[2, 2, 5, 3, 7, 4, 8, 6]","[2, 6, 3, 12, 8, 19, 9, 22]",Melbourne,22,Regular season,24,04,2022,19:25:00,14,11,11.0,5.0,2.0,0.0,3.0,450,453,109.0,76.0,2.0,0.0,0.0,0.0,0.0,3.0,1L,8.0,99.34,-1.0,L,1.0,5.0,5.0,0.0,0.0,466,299,120.0,68.0,3.0,0.0,0.0,2.0,0.0,0.0,5W,20.0,155.85,5.0,W,0
43,52,2022-04-25 12:30:00,6,8,York Park,Hawthorn,Sydney,68,109,"[5, 4, 7, 5, 9, 8, 10, 8]","[3, 2, 4, 8, 7, 11, 16, 13]",Sydney,41,Regular season,25,04,2022,12:30:00,10,16,8.0,5.0,3.0,0.0,2.0,436,410,120.0,73.0,2.0,0.0,1.0,1.0,0.0,1.0,1W,12.0,106.34,1.0,W,5.0,5.0,4.0,0.0,1.0,486,373,121.0,60.0,2.0,0.0,0.0,2.0,0.0,1.0,2W,16.0,130.29,2.0,W,0
44,53,2022-04-25 15:20:00,6,9,M.C.G.,Essendon,Collingwood,82,93,"[2, 2, 4, 6, 8, 8, 12, 10]","[3, 2, 6, 2, 9, 3, 15, 3]",Collingwood,11,Regular season,25,04,2022,15:20:00,05,04,15.0,5.0,1.0,0.0,4.0,379,540,103.0,59.0,1.0,0.0,2.0,0.0,0.0,2.0,1L,4.0,70.19,-1.0,L,9.0,5.0,2.0,0.0,3.0,458,432,102.0,74.0,1.0,0.0,2.0,1.0,0.0,1.0,3L,8.0,106.02,-3.0,L,0
45,54,2022-04-29 20:10:00,7,1,Perth Stadium,West Coast,Richmond,56,165,"[1, 2, 2, 4, 4, 7, 8, 8]","[7, 3, 12, 7, 18, 11, 25, 15]",Richmond,109,Regular season,29,04,2022,20:10:00,18,14,17.0,6.0,1.0,0.0,5.0,364,595,87.0,33.0,0.0,0.0,3.0,1.0,0.0,2.0,2L,4.0,61.18,-2.0,L,12.0,6.0,2.0,0.0,4.0,504,529,109.0,54.0,2.0,0.0,1.0,0.0,0.0,3.0,2L,8.0,95.27,-2.0,L,0
46,55,2022-04-30 13:45:00,7,2,Kardinia Park,Geelong,Fremantle,66,69,"[5, 0, 5, 1, 6, 3, 10, 6]","[3, 3, 4, 7, 8, 8, 10, 9]",Fremantle,3,Regular season,30,04,2022,13:45:00,09,08,6.0,6.0,4.0,0.0,2.0,600,493,138.0,77.0,2.0,0.0,0.0,2.0,0.0,2.0,1W,16.0,121.7,1.0,W,2.0,6.0,5.0,0.0,1.0,532,369,107.0,55.0,2.0,0.0,1.0,3.0,0.0,0.0,4W,20.0,144.17,4.0,W,0
